ID	209998_at	236974_at	205562_at	210039_s_at	205404_at	201820_at	208399_s_at	242310_at	230742_at	1556054_at	205481_at	218342_s_at	202294_at	230257_s_at	223699_at
C	6.925701798	6.728894637	7.242604247	6.741508616	7.211928404	5.666596814	5.51299258	5.000864022	4.397667441	3.863679161	8.512972984	8.511551229	7.612106347	7.86428037	10.96512512
C	6.80537684	6.476081277	7.336174961	6.323788837	6.370497452	5.852451606	6.104777499	4.805188391	4.502432048	4.249229131	8.114979087	7.968266763	7.56784822	7.648686251	8.89677085
C	6.813924765	6.5470492	6.985172789	6.471206227	6.236038121	5.708874951	5.795486058	5.417942355	4.774050748	3.783986695	8.296171304	7.907995063	7.726864841	7.415275109	9.861515334
C	7.087309918	6.60347248	7.191944305	6.589692788	7.016409693	5.903386101	5.888465046	4.903153918	4.510756129	3.899655813	8.300569089	8.308175113	7.570124483	7.865385281	9.879711093
C	6.905270667	6.663143536	6.952776049	6.373637342	6.453422704	5.556063916	5.985114702	5.056457617	4.590318192	3.838913015	8.168097286	8.238460172	7.608296608	7.801509436	9.501570386
S	6.71247084	6.788605608	6.782689023	6.127792619	6.564147742	5.691339622	5.409739488	5.204453332	5.133198219	4.610565398	7.927796625	7.965988545	8.014787592	7.437655353	9.166370863
S	6.828236652	6.941809618	6.704359342	6.275497048	5.509494591	5.493514446	5.408010267	5.708258642	4.734400784	4.442947971	8.080777148	7.72823911	7.780476677	7.515349439	8.430776093
S	6.804093019	6.734787388	6.997329077	6.310393881	5.755865083	5.497173434	5.752187685	5.520261773	5.051328023	4.014867707	7.923833283	7.648265617	7.608631443	7.574021232	8.793355427
S	6.665988995	6.768664231	6.996411189	6.243252743	5.803272458	5.364649707	5.467520682	5.313629742	5.067322765	4.492410473	7.873984886	7.336057603	7.816600829	7.262939035	8.534705187
S	6.930951551	6.723376941	6.972454665	6.378641539	6.337111105	5.731416725	5.502933898	5.28885811	4.439905861	4.333859864	8.256096297	8.020322526	7.742905521	7.638474243	9.593796838
S	6.717275293	6.897854506	7.095359998	6.380880888	6.259457515	5.419215839	5.103625839	5.601610207	4.954533197	4.616361735	7.939669176	7.762934884	7.846922613	7.608758032	8.911284684
S	6.793601556	6.752558768	7.113378735	6.233979995	6.466884172	5.409232355	5.365425257	5.150382065	5.059942808	4.463468479	8.133277961	7.797754224	7.747012263	7.397380183	9.552667496
S	6.584397009	6.736807535	6.999131756	6.261702939	6.115596646	5.25249289	5.672792557	5.768082643	4.602045244	4.963028408	7.980170029	7.596098751	7.824680303	7.464972941	9.615560207
S	6.889331303	6.569280097	6.907824411	6.177980091	5.716151493	5.398233417	5.257592809	5.390054787	4.856789758	3.765615642	7.96312645	7.720310471	7.807969659	7.420259082	8.823514247
S	6.870602371	6.805005819	6.927469778	6.109473693	5.837114402	5.879422291	5.523435447	5.422565473	4.769844351	3.828160166	8.170533619	8.030975776	7.789212644	7.442400263	8.776818813
S	6.694090135	6.778731782	6.855186058	6.418250903	6.062550505	5.605594413	5.486445099	5.57129586	4.85935712	4.463655901	8.091103248	8.046017976	7.858437653	7.470894972	8.995665367
S	6.782784852	6.749460267	7.043603325	6.330679189	6.306477345	5.451440544	5.15546342	5.535735822	4.501522491	4.51622307	8.015944291	7.64305821	7.68629545	7.474563434	9.353172423
S	6.869670503	6.966176998	7.020890625	6.621039553	7.364757383	5.5804799	5.978090168	4.709477505	4.628766718	4.413144192	8.423287959	8.063051842	7.746032361	7.686795815	9.954309841
S	6.836071762	6.588252867	7.158457356	6.539468973	6.202951914	5.674383665	5.667635298	5.206943112	4.55186196	3.613506135	8.039587224	7.97374769	7.440713846	7.663985193	9.247807084
S	6.558946514	6.662474545	7.348874755	6.244174935	5.914136847	5.544470364	5.3121528	5.589810361	4.919700481	4.764000555	7.972704601	7.581549527	7.846160072	7.425609445	8.506557894
S	6.760605944	6.871886265	6.989024856	6.332671188	6.327546984	5.312435313	5.477747012	5.603622797	5.028467758	4.510018327	8.05141796	7.804304598	7.623001459	7.46841099	8.999840353
S	6.653960204	6.869197163	6.891970026	6.246146464	5.544321554	5.458763088	5.158075563	4.915304376	5.015975981	3.811812636	7.886566928	7.733661714	7.884244425	7.632179455	8.771065096
S	6.719483042	6.991640307	7.042495557	6.158862428	5.634527449	5.146269233	5.213293931	6.155059852	4.950767165	4.426870793	7.750423214	7.647994194	8.006242356	7.283219925	8.341339017
S	6.643584686	6.892389599	6.937903724	6.165629636	5.72479336	5.583601484	5.819342822	5.806344899	4.468979854	4.207589079	8.057220386	7.525094905	7.6545832	7.631921237	7.493676623
S	6.886932647	6.77370092	6.775777026	6.565524544	5.534257496	5.464163266	5.386632143	5.213016024	4.824053099	4.138511973	8.103623404	8.267234135	7.921348266	7.427643885	9.023852507
S	6.776886604	6.983961276	6.894104893	6.260306083	5.878597045	5.539234356	5.284635318	5.567541721	5.123346934	3.636866175	8.017254524	7.941020264	7.69407872	7.484534402	8.497919407
S	6.43344808	6.856275838	6.785839738	6.347705369	6.525343685	5.279938038	5.447643032	5.40252691	4.903042161	4.159478012	8.089142224	7.892721673	7.73499994	7.402383116	9.237428846
S	6.724484992	6.777657	6.900512717	6.313984905	5.775328786	5.504172888	5.07745277	5.405935361	5.12140772	4.612216381	7.841780654	7.78815573	7.878521819	7.502994948	9.140655933
